product_name,brand,price,mrp,discount_percent,rating,review_count,processor,ram,storage,graphics,pixels,display_size,seller,availability,product_url,touchscreen,laptop_type,search_term
Add to CompareASUS TUF Gaming A14 (2026) AMD Ryzen AI 9 10 Core 465,Add,"₹2,05,525",Not Available,14% off,Not Available,Not Available,Not Available,Not Available,512 GB SSD,Not Available,Not Available,35.56 cm (14 inch),Not Available,In Stock,https://www.flipkart.com/asus-tuf-gaming-a14-2026-amd-ryzen-ai-9-10-core-465-16-gb-512-gb-ssd-windows-11-home-8-graphics-nvidia-geforce-rtx-5060-165-hz-fa401gm-rg038ws-laptop/p/itm0a76f938f855a?pid=COMHNHH8R3QFTG5T&lid=LSTCOMHNHH8R3QFTG5TOMLTPV&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_16_381&otracker=search&fm=organic&iid=en_ywyr70tsKoyrfevvpLttxyfCfvA_2HRE_UQFZ-2XqLRPG_jWu21j2P1ao4IcV-pUIthLz0wTF_zViZ8FVILibFN4iWa_f2NC4u0gbKwz3cxerqWphwNVaA7AM1fuDrWX&ppt=None&ppn=None&ssid=unqhik7wz40000001788768130208&qH=cda2435f700c2043&ov_redirect=true,Not Available,Gaming,asus laptop
"Add to CompareASUS ROG Flow Z13 (2025) for Creator with Touch Screen, MSO 2024 + M365 Basic ,AI PC AMD Ryzen AI Max ...AMD Ryzen AI Max Processor32 GB LPDDR5X RAMWindows 11 Home Operating System1 TB SSD34.04 cm (13.4 Inch) Touchscreen DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year, Xbox Game Pass for 3 months1 Year Onsite Warranty₹2,39,990₹2,69,99011% offLowest price since launchUpto₹64,250Off on Exchange",Add,"₹2,39,990","₹64,250",11% off,Not Available,Not Available,M3,Not Available,1 TB SSD,Not Available,Not Available,34.04 cm (13.4 Inch),Not Available,In Stock,https://www.flipkart.com/asus-rog-flow-z13-2025-creator-touch-screen-mso-2024-m365-basic-ai-pc-amd-ryzen-ai-max-32-gb-1-tb-ssd-windows-11-home-amd-radeon-8060s-180-ghz-gz302ea-ru520ws-gaming-laptop/p/itmc0aad1912b042?pid=COMHGSA9UF6EQFNF&lid=LSTCOMHGSA9UF6EQFNF79PWMI&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_16_382&otracker=search&fm=organic&iid=en_ywyr70tsKoyrfevvpLttxyfCfvA_2HRE_UQFZ-2XqLQnGJqIaqE8aSY3nVjecdbMnGOV0PN3jodTs0rjZ1NfJZRul3wtQJS16jfWrHQNx7PTYjfDxwgzngyjMlrFezEl&ppt=None&ppn=None&ssid=unqhik7wz40000001788768130208&qH=cda2435f700c2043&ov_redirect=true,Not Available,Gaming,asus laptop
Add to CompareASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 5 Quad Core 7520U,Add,"₹68,999",Not Available,1% off,Not Available,378 Ratings,M3,8 GB LPDDR5 RAM,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-go-14-2025-office-2024-m365-basic-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1404fa-nk5521ws-thin-light-laptop/p/itmcc509a4f00a9b?pid=COMH9SJ9WCNYE6HA&lid=LSTCOMH9SJ9WCNYE6HAZCGDI5&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_16_383&otracker=search&fm=organic&iid=37f5216a-5e06-430c-b72e-7d9aa3adcd33.COMH9SJ9WCNYE6HA.SEARCH&ppt=None&ppn=None&ssid=unqhik7wz40000001788768130208&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
Add to CompareASUS ASUS Vivobook 16 Intel Core 5 14th Gen 210H,Add,"₹92,990",Not Available,6% off,Not Available,Not Available,Intel Core 5,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-16-intel-core-5-14th-gen-210h-16-gb-512-gb-ssd-windows-11-home-s3607va-rp113ws-laptop/p/itm399e8d427cfe0?pid=COMHMFFJ3JZTZQ7A&lid=LSTCOMHMFFJ3JZTZQ7AVOA1F0&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_16_384&otracker=search&fm=organic&iid=37f5216a-5e06-430c-b72e-7d9aa3adcd33.COMHMFFJ3JZTZQ7A.SEARCH&ppt=None&ppn=None&ssid=unqhik7wz40000001788768130208&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
"Add to CompareASUS Zenbook 14 OLED (2025) with Touch Screen, Backlit Keyboard, Full Metal Body, Intel Core Ultra 7 2...4.335 Ratings&6 ReviewsIntel Core Ultra 7 Processor32 GB LPDDR5X RAMWindows 11 Home Operating System1 TB SSD35.56 cm (14 Inch) Touchscreen DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity),
McAfee? 1 year, One-Month Membership of Adobe Creative Cloud All Apps1 Year Onsite warranty₹1,58,989₹1,58,990Bank Offer",Add,"₹1,58,989",Not Available,Not Available,Not Available,335 Ratings,Intel Core Ultra 7,Not Available,1 TB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/asus-zenbook-14-oled-2025-touch-screen-backlit-keyboard-full-metal-body-intel-core-ultra-7-255h-32-gb-1-tb-ssd-windows-11-home-ux3405ca-pz163ws-thin-light-laptop/p/itm387edb55403e3?pid=COMH89EBBZAJBHD4&lid=LSTCOMH89EBBZAJBHD4DEDDZY&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_385&otracker=search&fm=organic&iid=829950c6-cf45-435b-b372-2956f75fd87a.COMH89EBBZAJBHD4.SEARCH&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
Add to CompareASUS Vivobook Go 14 AMD Ryzen 3 Quad Core 7320U,Add,"₹59,990",Not Available,7% off,Not Available,4142 Ratings,AMD Ryzen 3 Quad,8 GB LPDDR5 RAM,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-go-14-amd-ryzen-3-quad-core-7320u-8-gb-512-gb-ssd-windows-11-home-e1404fa-nk322ws-thin-light-laptop/p/itmd6733f7332771?pid=COMGMGXFQ3QGPJCV&lid=LSTCOMGMGXFQ3QGPJCVM3AZU0&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_386&otracker=search&fm=organic&iid=829950c6-cf45-435b-b372-2956f75fd87a.COMGMGXFQ3QGPJCV.SEARCH&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
"Add to CompareASUS Vivobook 16 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC AMD Ryzen AI 7 Hexa Core 445...4.710 Ratings&2 ReviewsAMD Ryzen AI 7 Hexa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD40.64 cm (16 inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty₹92,990₹1,21,99023% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹92,990","₹42,600",23% off,Not Available,710 Ratings,M3,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-16-2026-ai-pc-office-2024-m365-basic-copilot-amd-ryzen-7-hexa-core-445-16-gb-512-gb-ssd-windows-11-home-m1607ga-mb029ws-thin-light-laptop/p/itm2d63dd66b4319?pid=COMHJJ2HJZYGBDHF&lid=LSTCOMHJJ2HJZYGBDHFLGYWOU&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_387&otracker=search&fm=organic&iid=en_uye5Q7voZtglTfFfHyHsiRv_-TzhbXrdvfrd0Rsu409YwyB-w0MxtkY-2TdBPuJPp4qDCMKgPoRmiYWfkZWer-TdK7dngYr0-3oOAMK4Pa9irAJ_S_WqaH-rX-8u16Ig&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
Add to CompareASUS TUF Gaming A16 (2026) with Office 2024 + M365 Basic AMD Ryzen 7 260,Add,"₹1,39,990","₹42,600",53% off,Not Available,749 Ratings,M3,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-tuf-gaming-a16-2026-office-2024-m365-basic-amd-ryzen-7-260-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-165-hz-fa608uh-rv112ws-laptop/p/itma83335dd66da5?pid=COMHMARKAYGY6HVV&lid=LSTCOMHMARKAYGY6HVVY9ZSNO&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_388&otracker=search&fm=organic&iid=en_uye5Q7voZtglTfFfHyHsiRv_-TzhbXrdvfrd0Rsu40_9Q-l3cKYLQT5-ro0eX0y4PIJ4EO2_H_mAJJfCuDFPVvTngUcsguupOqwRr8EKp4NirAJ_S_WqaH-rX-8u16Ig&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Gaming,asus laptop
Add to CompareASUS ExpertBook P2 Intel Core i5 10th Gen 10210U,Add,"₹83,990","₹42,600",Not Available,Not Available,36 Ratings,Intel Core i5,8 GB DDR4 RAM,1 TB HDD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/asus-expertbook-p2-intel-core-i5-10th-gen-10210u-8-gb-1-tb-hdd-windows-10-pro-2-gb-graphics-p2451fb-thin-light-laptop/p/itm0498cd220dd83?pid=COMFVKZGCE4FMGAQ&lid=LSTCOMFVKZGCE4FMGAQYIMEKR&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_389&otracker=search&fm=organic&iid=829950c6-cf45-435b-b372-2956f75fd87a.COMFVKZGCE4FMGAQ.SEARCH&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Personal,asus laptop
Add to CompareASUS TUF Gaming F16 (2026) Intel Core i7 14th Gen 14650HX,Add,"₹2,14,990","₹42,600",25% off,Not Available,Not Available,Intel Core i7,16 GB DDR5 RAM,1 TB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-tuf-gaming-f16-2026-intel-core-i7-14th-gen-14650hx-16-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5060-144-hz-fx608jmi-tu251ws-laptop/p/itmb8efdf6b1c10a?pid=COMHNHH82VRD2CX3&lid=LSTCOMHNHH82VRD2CX3YI4YOT&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_17_390&otracker=search&fm=organic&iid=829950c6-cf45-435b-b372-2956f75fd87a.COMHNHH82VRD2CX3.SEARCH&ppt=None&ppn=None&ssid=nd968hv5sw0000001788768150678&qH=cda2435f700c2043&ov_redirect=true,Not Available,Gaming,asus laptop
