product_name,brand,price,mrp,discount_percent,rating,review_count,processor,ram,storage,graphics,pixels,display_size,seller,availability,product_url,touchscreen,laptop_type
"Add to CompareASUS Vivobook 16 (2026) AI PC with Office 2024 + M365 Basic*, Copilot+ PC AMD Ryzen AI 7 Hexa Core 445...4.710 Ratings&2 ReviewsAMD Ryzen AI 7 Hexa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD40.64 cm (16 inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year1 Year Onsite Warranty₹92,990₹1,26,99026% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹92,990","₹42,600",26% off,Not Available,10 Ratings,M3,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,40.64 cm (16 inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-16-2026-ai-pc-office-2024-m365-basic-copilot-amd-ryzen-7-hexa-core-445-16-gb-512-gb-ssd-windows-11-home-m1607ga-mb030ws-thin-light-laptop/p/itmd56383b013987?pid=COMHJJ2HCUTYXY36&lid=LSTCOMHJJ2HCUTYXY36T0THPD&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_282&otracker=search&fm=organic&iid=en_brncRQRVmD29SZPkPcboSnyy4rGT6tD1OaPKcv-PiG-ARaB6RFW_rhgtun0voxgj8J3TIJCLyUUQ5pGtm2SIgJy4zztl6nAYcGaH4fI6N-wCXy6UYTVtsirWu3XVsM_F&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareLenovo LOQ Essential AMD Ryzen 7 Octa Core 7735HS - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NV...4.341 Ratings&2 ReviewsAMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 inch) DisplayOffice Home 20241 Year Onsite Service₹1,33,990₹2,12,69037% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹1,33,990","₹42,600",37% off,Not Available,41 Ratings,AMD Ryzen 7 Octa,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 inch),Not Available,In Stock,https://www.flipkart.com/lenovo-loq-essential-amd-ryzen-7-octa-core-7735hs-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15arp10e-gaming-laptop/p/itm399bfa20e0e93?pid=COMHZFBNSMVYUDFC&lid=LSTCOMHZFBNSMVYUDFCNQPJIT&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_283&otracker=search&fm=organic&iid=e28b997f-278b-4e69-a7bd-5aaecc2f33a0.COMHZFBNSMVYUDFC.SEARCH&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareAcer AMD Ryzen 3 Quad Core 5th Gen - (8 GB/Windows 11 Home) UN.31ZSI.004 LaptopAMD Ryzen 3 Quad Core Processor (5th Gen)8 GB DDR4 RAMWindows 11 Home Operating System39.62 cm (15.6 Inch) Display1 YEAR₹47,890₹58,00017% offBank Offer",Add,"₹47,890",Not Available,17% off,Not Available,Not Available,AMD Ryzen 3 Quad,8 GB DDR4 RAM,Not Available,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/acer-amd-ryzen-3-quad-core-5th-gen-8-gb-windows-11-home-un-31zsi-004-laptop/p/itm130746bcc0e38?pid=COMH26NN7FGVHHZ6&lid=LSTCOMH26NN7FGVHHZ6M1Z6QK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_284&otracker=search&fm=organic&iid=e28b997f-278b-4e69-a7bd-5aaecc2f33a0.COMH26NN7FGVHHZ6.SEARCH&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareApple MacBook Air M3 - (16 GB/256 GB SSD/macOS Sequoia) MC8G4HN/A4.6686 Ratings&52 ReviewsApple M3 Processor16 GB Unified Memory RAMMac OS Operating System256 GB SSD34.54 cm (13.6 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather1 Year Limited Warranty₹1,14,900Upto₹42,600Off on ExchangeBank Offer",Add,"₹1,14,900","₹42,600",Not Available,Not Available,686 Ratings,M3,Not Available,256 GB SSD,Not Available,Not Available,34.54 cm (13.6 Inch),Not Available,In Stock,https://www.flipkart.com/apple-macbook-air-m3-16-gb-256-gb-ssd-macos-sequoia-mc8g4hn-a/p/itm45bd67b7758ad?pid=COMH64PYUGCW7EBY&lid=LSTCOMH64PYUGCW7EBYMB2SAQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_285&otracker=search&fm=organic&iid=e28b997f-278b-4e69-a7bd-5aaecc2f33a0.COMH64PYUGCW7EBY.SEARCH&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, AMD Ryzen 3 Quad Core 7320U - (16 GB/512 GB...4.2160 Ratings&15 ReviewsAMD Ryzen 3 Quad Core Processor16 GB LPDDR5 RAMWindows 11 Home Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year1 Year Onsite Warranty₹56,999₹66,99914% offBank Offer",Add,"₹56,999",Not Available,14% off,Not Available,160 Ratings,M3,Not Available,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/asus-vivobook-go-15-2025-office-2024-m365-basic-amd-ryzen-3-quad-core-7320u-16-gb-512-gb-ssd-windows-11-home-e1504fa-bq2343ws-thin-light-laptop/p/itm7ff34a6e7f0c7?pid=COMHEZZTU6WC2M2H&lid=LSTCOMHEZZTU6WC2M2HCYHBQQ&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_286&otracker=search&fm=organic&iid=e28b997f-278b-4e69-a7bd-5aaecc2f33a0.COMHEZZTU6WC2M2H.SEARCH&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareDELL Alienware 15 AMD Ryzen 5 14th Gen 220 - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA Ge...AMD Ryzen 5 Processor (14th Gen)16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD38.86 cm (15.3 inch) Display1 Year Onsite Service₹1,31,990₹1,59,33617% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹1,31,990","₹42,600",17% off,Not Available,Not Available,AMD Ryzen 5 14th,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,38.86 cm (15.3 inch),Not Available,In Stock,https://www.flipkart.com/dell-alienware-15-amd-ryzen-5-14th-gen-220-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-165-hz-can15265cto02mino-gaming-laptop/p/itma2a27c356865b?pid=COMHZ8TZQQZNZGNH&lid=LSTCOMHZ8TZQQZNZGNHMQNAK9&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_287&otracker=search&fm=organic&iid=en_brncRQRVmD29SZPkPcboSnyy4rGT6tD1OaPKcv-PiG8ZloiadMOslRhbxtSHUqbfNcl3J0L0ZhwDfWPe3rq9kB87ZSEU5c7_fZNZg-LmLzICXy6UYTVtsirWu3XVsM_F&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareDELL Alienware 15 AMD Ryzen 7 260 - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX...AMD Ryzen 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD38.86 cm (15.3 inch) Display1 Year Onsite Service₹1,27,990₹1,62,95721% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹1,27,990","₹42,600",21% off,Not Available,Not Available,AMD Ryzen 7 260,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,38.86 cm (15.3 inch),Not Available,In Stock,https://www.flipkart.com/dell-alienware-15-amd-ryzen-7-260-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-165-hz-can15265cto03mino-gaming-laptop/p/itm6eee8325fa798?pid=COMHPH5FHSZMCPV4&lid=LSTCOMHPH5FHSZMCPV4YCI4BK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_12_288&otracker=search&fm=organic&iid=en_brncRQRVmD29SZPkPcboSnyy4rGT6tD1OaPKcv-PiG9g_0ckC7Po7HIDHF-wtBPWvnhfNRTLei3djvA_pLDsP3hW9GaCHzW47wZJQ3b0Ha3ignB0s9K878MjDOKhvDVl&ppt=None&ppn=None&ssid=kyqhvzg1v40000001788764103587&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareApple MacBook Air M3 - (16 GB/256 GB SSD/macOS Sequoia) MC9D4HN/A4.73 Ratings&0 ReviewsApple M3 Processor16 GB Unified Memory RAMMac OS Operating System256 GB SSD38.86 cm (15.3 Inch) DisplayBuilt-in Apps: App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos, Weather1 Year Limited Warranty₹1,34,900Upto₹42,600Off on ExchangeBank Offer",Add,"₹1,34,900","₹42,600",Not Available,Not Available,3 Ratings,M3,Not Available,256 GB SSD,Not Available,Not Available,38.86 cm (15.3 Inch),Not Available,In Stock,https://www.flipkart.com/apple-macbook-air-m3-16-gb-256-gb-ssd-macos-sequoia-mc9d4hn-a/p/itm45bd67b7758ad?pid=COMH64PYZV2Y3FGF&lid=LSTCOMH64PYZV2Y3FGFFF4DT5&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_289&otracker=search&fm=organic&iid=75e65250-c02b-4934-8d09-75d38ffa8725.COMH64PYZV2Y3FGF.SEARCH&ppt=None&ppn=None&ssid=7s0zkzalrk0000001788764124174&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareHP 15R (2025) Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Pro) 15R G9 Thin and Light La...4.2225 Ratings&18 ReviewsIntel Core i3 Processor (13th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Pro Plus 2021, Windows 11 Pro1 Year Onsite Warranty₹57,990₹74,99022% offBank Offer",Add,"₹57,990",Not Available,22% off,Not Available,225 Ratings,Intel Core i3,8 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/hp-15r-2025-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-pro-g9-thin-light-laptop/p/itmff5abac6385ed?pid=COMH8PDNRYZH6QHW&lid=LSTCOMH8PDNRYZH6QHWYBFYDM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_290&otracker=search&fm=organic&iid=75e65250-c02b-4934-8d09-75d38ffa8725.COMH8PDNRYZH6QHW.SEARCH&ppt=None&ppn=None&ssid=7s0zkzalrk0000001788764124174&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
"Add to CompareDELL 14 Microsoft Office Home 2024 AMD Ryzen 5 Hexa Core AI 5 340 - (16 GB/512 GB SSD/Windows 11 Home)...4.111 Ratings&1 ReviewsAMD Ryzen 5 Hexa Core Processor16 GB LPDDR5X RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home 2024 | Dell Support Assist1 Year Onsite Hardware Service₹73,490₹92,83320% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹73,490","₹42,600",20% off,Not Available,11 Ratings,AMD Ryzen 5 Hexa,Not Available,512 GB SSD,Not Available,Not Available,35.56 cm (14 Inch),Not Available,In Stock,https://www.flipkart.com/dell-14-microsoft-office-home-2024-amd-ryzen-5-hexa-core-ai-340-16-gb-512-gb-ssd-windows-11-home-db14255-thin-light-laptop/p/itm0ca95e9f348c1?pid=COMHDZXVH7TGHMJP&lid=LSTCOMHDZXVH7TGHMJPCZTBD3&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_13_291&otracker=search&fm=organic&iid=en_izjora7C8wPCuqtBp5b1kDbk7_poQpe794YImQYisj3O5sfELkwrM2jqa_dfhNSgutKaJ4GTFDwR2ZsS8o9QfuTdK7dngYr0-3oOAMK4Pa88kA7lRJVyTYXlVei-OVDl&ppt=None&ppn=None&ssid=7s0zkzalrk0000001788764124174&qH=312f91285e048e09&ov_redirect=true,Not Available,Personal
