product_name,brand,price,mrp,discount_percent,rating,review_count,processor,ram,storage,graphics,pixels,display_size,seller,availability,product_url,touchscreen,laptop_type,search_term
"Add to CompareLenovo V15 AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light L...4.1720 Ratings&45 ReviewsAMD Ryzen 3 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹55,990₹58,9905% offOnly 5 leftBank Offer",Add,"₹55,990",Not Available,5% off,Not Available,720 Ratings,AMD Ryzen 3 Quad,8 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-v15-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-g2-alc-thin-light-laptop/p/itmf6172499e1c65?pid=COMGZ3SPV5HJS79B&lid=LSTCOMGZ3SPV5HJS79BKLRM55&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_110&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMGZ3SPV5HJS79B.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareDELL Alienware 15 AMD Ryzen 7 260 - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX...AMD Ryzen 7 Processor16 GB DDR5 RAMWindows 11 Home Operating System512 GB SSD38.86 cm (15.3 inch) Display1 Year Onsite Service₹1,27,990₹1,62,95721% offUpto₹42,600Off on ExchangeBank Offer",Add,"₹1,27,990","₹42,600",21% off,Not Available,Not Available,AMD Ryzen 7 260,16 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,38.86 cm (15.3 inch),Not Available,In Stock,https://www.flipkart.com/dell-alienware-15-amd-ryzen-7-260-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-3050-165-hz-can15265cto03mino-gaming-laptop/p/itm6eee8325fa798?pid=COMHPH5FHSZMCPV4&lid=LSTCOMHPH5FHSZMCPV4YCI4BK&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_111&otracker=search&fm=organic&iid=en_XEJu4garfsXF_cq8RbutQfVVOyDvnTtfPcxSoDdiFgHR0LkuRzcRRBS5upcdP6TRnpd-ozuGyY0diPGKTIdbMNlJNRGwqoAH0D77rcrL2iz3VjV5RkmbXu_qwbd0svqa&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo V15 G2 AMD Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Laptop3.423 Ratings&4 ReviewsAMD Ryzen 3 Quad Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20211 Year Onsite Warranty₹50,499₹54,9998% offOnly few leftBank Offer",Add,"₹50,499",Not Available,8% off,Not Available,23 Ratings,AMD Ryzen 3 Quad,8 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-v15-g2-amd-ryzen-3-quad-core-5300u-8-gb-512-gb-ssd-windows-11-home-alc-laptop/p/itmf6172499e1c65?pid=COMGHJ46CFUJSZZE&lid=LSTCOMGHJ46CFUJSZZEBHCGZM&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_112&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMGHJ46CFUJSZZE.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL6 Thin and Light...4.2737 Ratings&37 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Year Onsite Warranty₹34,960₹49,19028% offOnly 2 leftBank Offer",Add,"₹34,960",Not Available,28% off,Not Available,737 Ratings,Intel Core i3,8 GB DDR4 RAM,256 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-8-gb-256-gb-ssd-windows-11-home-15itl6-thin-light-laptop/p/itmf7ba442601f89?pid=COMGAGRYXAWSHSRM&lid=LSTCOMGAGRYXAWSHSRM26CSM3&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_113&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMGAGRYXAWSHSRM.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo V15 AMD Ryzen 5 Quad Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) V15 G2 ALC Thin and Light L...4.21,787 Ratings&163 ReviewsAMD Ryzen 5 Quad Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹61,975₹69,52510% offOnly few leftBank Offer",Add,"₹61,975",Not Available,10% off,Not Available,"1,787 Ratings",AMD Ryzen 5 Quad,8 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-v15-amd-ryzen-5-quad-core-5500u-8-gb-512-gb-ssd-windows-11-home-g2-alc-thin-light-laptop/p/itmfe3dee6b6686a?pid=COMGZ3SPYQJDEJWQ&lid=LSTCOMGZ3SPYQJDEJWQKHPRQZ&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_114&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMGZ3SPYQJDEJWQ.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo IdeaPad Slim 1 AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and ...4.2533 Ratings&37 ReviewsAMD Ryzen 5 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Yr. Onsite + 1 Yr. Accidental Damage Protection₹61,990₹71,99013% offOnly few leftBank Offer",Add,"₹61,990",Not Available,13% off,Not Available,533 Ratings,AMD Ryzen 5 Quad,Not Available,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-ideapad-slim-1-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-15amn7-thin-light-laptop/p/itm7ecd736658657?pid=COMHYUNJGKSJGPGN&lid=LSTCOMHYUNJGKSJGPGNBGGNYZ&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMHYUNJGKSJGPGN.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo IdeaPad Slim 3 Intel Intel Core i3 11th Gen 1115G4 - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 ...4.23,073 Ratings&251 ReviewsIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Yr Warranty₹60,890Only 1 leftUpto₹42,600Off on Exchange",Add,"₹60,890","₹42,600",Not Available,Not Available,"3,073 Ratings",Intel Core i3,8 GB DDR4 RAM,256 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-ideapad-slim-3-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-15itl05-thin-light-laptop/p/itmf495cb59eb6fc?pid=COMGHA9RPMRF2BAR&lid=LSTCOMGHA9RPMRF2BARYJMPBY&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMGHA9RPMRF2BAR.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo LOQ Intel Core i5 12th Gen 12450HX - (12 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeF...4.32,012 Ratings&149 ReviewsIntel Core i5 Processor (12th Gen)12 GB DDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1Yr Warranty and 1 Yr Accidental Damage Protection₹80,090Upto₹42,600Off on ExchangeBank Offer",Add,"₹80,090","₹42,600",Not Available,Not Available,"2,012 Ratings",Intel Core i5,12 GB DDR5 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-loq-intel-core-i5-12th-gen-12450hx-12-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-65-w-15iax9-gaming-laptop/p/itme3e94a3f73f71?pid=COMHY9Z8AFVPHVJF&lid=LSTCOMHY9Z8AFVPHVJFAMRSWH&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMHY9Z8AFVPHVJF.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo AMD Ryzen 7 Octa Core 7730U - (16 GB/512 GB SSD/Windows 11 Home) V15 G4 Thin and Light Laptop4.3373 Ratings&27 ReviewsAMD Ryzen 7 Octa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty₹77,500₹78,9901% offOnly 1 leftBank Offer",Add,"₹77,500",Not Available,1% off,Not Available,373 Ratings,AMD Ryzen 7 Octa,16 GB DDR4 RAM,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-amd-ryzen-7-octa-core-7730u-16-gb-512-gb-ssd-windows-11-home-v15-g4-thin-light-laptop/p/itm0ed77e73122ed?pid=COMHFEJKB4ENJGYN&lid=LSTCOMHFEJKB4ENJGYNVNLWGI&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMHFEJKB4ENJGYN.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
"Add to CompareLenovo V 15 (2025) AMD Ryzen 5 Quad Core 7520U - (16 GB/512 GB SSD/Windows 11 Pro) V 15 Thin and Light...427 Ratings&1 ReviewsAMD Ryzen 5 Quad Core Processor16 GB LPDDR5 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office 2021, Windows 11 Pro1 Year Warranty₹59,595₹70,99016% offOnly few leftBank Offer",Add,"₹59,595",Not Available,16% off,Not Available,27 Ratings,AMD Ryzen 5 Quad,Not Available,512 GB SSD,Not Available,Not Available,39.62 cm (15.6 Inch),Not Available,In Stock,https://www.flipkart.com/lenovo-v-15-2025-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-pro-thin-light-laptop/p/itm1aa04132ef637?pid=COMHF4VNGSD6T3ZH&lid=LSTCOMHF4VNGSD6T3ZHFFEYS8&marketplace=FLIPKART&q=lenovo+laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=search&fm=organic&iid=a784d05e-62d3-42e3-8b31-6d5efece9d2b.COMHF4VNGSD6T3ZH.SEARCH&ppt=None&ppn=None&ssid=pzp51bh29s0000001788767696642&qH=86f3cf6b571c1490&ov_redirect=true,Not Available,Personal,lenovo laptop
